,location,population,HighestInfectionCount,PercentPopulationInfected
75,Suriname,586634.0,25917.0,4.417916452166087
76,Russia,145934460.0,6340370.0,4.344669518083666
77,South Africa,59308690.0,2523488.0,4.254836854430607
78,Iraq,40222503.0,1704363.0,4.237336995164124
79,Bolivia,11673029.0,477262.0,4.088587460889543
80,Fiji,896444.0,36322.0,4.051786837772354
81,Cuba,11326616.0,448792.0,3.9622778771700213
82,Bahamas,393248.0,15419.0,3.9209353893726098
83,Libya,6871287.0,264827.0,3.8541105909271436
84,Malaysia,32365998.0,1243852.0,3.8430824842787175
85,Canada,37742157.0,1445915.0,3.8310343523821384
86,Kazakhstan,18776707.0,697580.0,3.715134927546135
87,Belize,397621.0,14438.0,3.6310959431217165
88,Azerbaijan,10139175.0,350605.0,3.4579243380255296
89,Vatican,809.0,27.0,3.3374536464771323
90,Dominican Republic,10847904.0,344151.0,3.1725114824024994
91,Saint Lucia,183629.0,5779.0,3.1471063938702493
92,Honduras,9904608.0,305936.0,3.088824918664121
93,Guyana,786559.0,22932.0,2.9154837717196043
94,Trinidad and Tobago,1399491.0,40104.0,2.8656132836867116
95,Ecuador,17643060.0,491185.0,2.7840125239045834
96,Eswatini,1160164.0,30787.0,2.65367654917753
97,World,7794798729.0,202290946.0,2.595204225702336
98,Norway,5421242.0,140466.0,2.5910298783931798
99,Kyrgyzstan,6524191.0,168415.0,2.5813928500867003
100,Iceland,341250.0,8738.0,2.5605860805860807
101,Nepal,29136808.0,712740.0,2.4461842216896237
102,India,1380004385.0,31934455.0,2.314083588944538
103,Mexico,128932753.0,2964244.0,2.299062054464935
104,Guatemala,17915567.0,389510.0,2.1741427441286114
105,Saint Vincent and the Grenadines,110947.0,2298.0,2.0712592499121203
106,Finland,5540718.0,110885.0,2.001274925018743
107,Morocco,36910558.0,687292.0,1.8620471681842359
108,Jamaica,2961161.0,54480.0,1.839818908867164
109,Barbados,287371.0,4455.0,1.5502608126776884
110,Saudi Arabia,34813867.0,531935.0,1.527940001609129
